Key,"English, en-US","French, fr","German, de","Polish, pl"
#common,,,,
"""Add""",Add,Ajouter,Hinzufügen,Dodaj
"""Edit""",Edit,Modifier,Bearbeiten,Edytuj
"""Delete""",Delete,Supprimer,Löschen,Usuń
"""View""",View,Voir,Sicht,Podgląd
"""Cancel""",Cancel,Annuler,Stornieren,Anuluj
"""Save""",Save,Sauvegarder,Speichern,Zapisz
"""Back""",Back,Dos,Zurück,Wróć
"""Return""",Return,Retour,Zurückkehren,Powrót
"""Search""",Search,Recherche,Suchen,Szukaj
"""Type your search text""",Type your search text,Tapez votre texte de recherche,Geben Sie Ihren Suchtext ein,Wpisz swój tekst wyszukiwania
"""Filters""",Filters,Filtres,Filter,Filtry
"""Attachments""",Attachments,Attachements,Anhänge,Załączniki
"""Status""",Status,Statut,Status,Status
"""Yes""",Yes,Oui,Ja,Tak
"""No""",No,Non,NEIN,NIE
"""All""",All,Tous,Alle,Wszystko
"""Pending""",Pending,En attente,Ausstehend,Aż do
"""Details""",Details,Détails,Einzelheiten,Detale
"""Photos""",Photos,Photos,Fotos,Zdjęcia
"""Documents""",Documents,Documents,Unterlagen,Dokumenty
"""QR Code""",QR Code,QR Code,QR-Code,Kod QR
"""Comments""",Comments,commentaires,Kommentare,Uwagi
"""Timeline""",Timeline,Calendrier,Zeitleiste,Oś czasu
"""Name""",Name,Nom,Name,Nazwa
"""Description""",Description,Description,Beschreibung,Opis
"""New""",New,Nouveau,Neu,Nowy
"""Active""",Active,Actif,Aktiv,Aktywny
"""Inactive""",Inactive,Inactif,Inaktiv,Nieaktywny
"""Accepted""",Accepted,Accepté,Akzeptiert,Przyjęty
"""Rejected""",Rejected,Rejeté,Abgelehnt,Odrzucony
"""In progress""",In progress,En cours,Im Gange,W trakcie
"""Paused""",Paused,Interrompu,Blättern,Zatrzymany
"""Resolved""",Resolved,Résolu,Beschlossen,Rozwiązany
"""Yesterday""",Yesterday,Hier,Gestern,Wczoraj
"""Today""",Today,Aujourd'hui,Heute,Dzisiaj
"""Week""",Week,Semaine,Woche,Tydzień
"""Month""",Month,Mois,Monat,Miesiąc
"""Custom""",Custom,Coutume,Brauch,Własna
"""Continue""",Continue,Continuer,Weitermachen,Kontynuuj
"""Next""",Next,Suivant,Nächste,Następny
"""Reports""",Reports,Rapports,Berichte,Raporty
,,,,
#login,,,,
"""Login""",Login,Connexion,Anmeldung,Zaloguj sie
"""E-mail""",E-mail,E-mail,Email,E-mail
"""Password""",Password,Mot de passe,Passwort,Hasło
"""Error: Check username & password""",Error: Check username & password,Erreur: vérifiez le nom d'utilisateur et le mot de passe,Fehler: Benutzername und Passwort überprüfen,Błąd: Sprawdź nazwę użytkownika i hasło
"""Password confirmation""",Password confirmation,Confirmation mot de passe,Passwort Bestätigung,Potwierdzenie hasła
"""Remember me for 30 days""",Remember me for 30 days,Souviens-toi de moi pendant 30 jours,Erinnere dich für 30 Tage an mich,Pamiętaj o mnie przez 30 dni
"""Register""",Register,Enregistrer,Registrieren,Zarejstruj się
"""I need help""",I need help,j'ai besoin d'aide,Ich brauche Hilfe,Potrzebuję pomocy
"""Reset password""",Reset password,Réinitialiser le mot de passe,Passwort zurücksetzen,Zresetuj hasło
"""I accept the terms and conditions""",I accept the terms and conditions,J'accepte les termes et conditions,Ich akzeptiere die allgemeinen Geschäftsbedingungen,Akceptuję zasady i warunki
"""Congratulations""",Congratulations,Toutes nos félicitations,Glückwunsch,Gratulacje
"""Almost done! Remember to confirm your email!""",Almost done! Remember to confirm your email!,Presque fini! N'oubliez pas de confirmer votre e-mail!,"Fast fertig! Denken Sie daran, Ihre E -Mail zu bestätigen!","Prawie skończone! Pamiętaj, aby potwierdzić swój e -mail!"
"""First Name""",First Name,Prénom,Vorname,Imię
"""Last Name""",Last Name,Nom de famille,"Familienname, Nachname",Nazwisko
"""NIP""",NIP,NIP,NIP,NIP
"""Company name""",Company name,Nom de l'entreprise,Name der Firma,Nazwa firmy
"""Street""",Street,Rue,Straße,Ulica
"""Postcode""",Postcode,Code postal,Postleitzahl,Kod pocztowy
"""City""",City,Ville,Stadt,Miasto
"""Last step""",Last step,Dernière étape,Letzter Schritt,Ostatni krok
"""Say something about yourself."" ",Say something about yourself. ,Dis quelque chose à propos de toi.,Sage etwas über dich selbst.,Powiedz coś o sobie.
"""Lets start""",Lets start,Commençons,Lasst uns beginnen,Zaczynajmy
,,,,
#files,,,,
"""Pick Video to upload""",Pick Video to upload,Choisissez la vidéo à télécharger,Video zum Hochladen auswählen,"Wybierz wideo, aby przesłać"
"""Pick Photo to upload""",Pick Photo to upload,Choisissez la photo pour télécharger,"Foto auswählen, um hochzuladen","Wybierz zdjęcie, aby przesłać"
"""Pick File to upload""",Pick File to upload,Choisissez le fichier à télécharger,Datei zum Hochladen auswählen,"Wybierz plik, aby przesłać"
"""Delete Video""",Delete Video,Supprimer la vidéo,Video löschen,Usuń wideo
"""Delete Photo""",Delete Photo,Supprimer la photo,Foto löschen,Usuń zdjęcie
"""Delete File""",Delete File,Supprimer le fichier,Datei löschen,Usunąć plik
,,,,
#dashboard,,,,
"""Ongoing""",Ongoing,En cours,Laufend,W trakcie
"""Done""",Done,Fait,Erledigt,Zrobione
,,,,
#users,,,,
"""Employee""",Employee,Employé,Mitarbeiter,Pracownik
